RecordID,DateID,WarehouseID,EquipmentID,MaintenanceID,UptimeHours,DowntimeHours,PackagesProcessed,EnergyUsed_kWH,ThroughputRate,MaintenanceCost
64,20191128,6,77,273,19.31,4.69,6352,81.72,328.95,309.03
65,20190903,84,61,321,21.09,2.91,4218,65.76,200.0,191.74
66,20250628,40,99,500,18.98,5.02,6054,101.11,318.97,330.77
67,20170920,92,79,74,21.15,2.85,6281,110.09,296.97,187.79
68,20230412,40,13,137,16.53,7.47,4925,51.36,297.94,492.21
69,20211104,2,50,503,19.15,4.85,5247,62.76,273.99,319.57
70,20210608,22,28,760,19.19,4.81,6620,63.43,344.97,316.94
71,20240806,40,9,718,17.12,6.88,3424,54.11,200.0,453.33
72,20250804,96,6,353,21.81,2.19,6433,113.44,294.96,144.3
73,20220321,6,89,364,21.95,2.05,8033,90.05,365.97,135.08
74,20241007,76,92,503,18.91,5.09,3290,62.4,173.98,335.39
75,20170704,70,64,521,16.58,7.42,2702,55.3,162.97,488.91
76,20250216,66,66,680,21.68,2.32,8281,81.34,381.96,152.87
77,20191114,89,43,522,18.76,5.24,4183,93.57,222.97,345.27
78,20201028,66,49,976,21.43,2.57,4028,102.95,187.96,169.34
79,20210105,16,100,489,20.23,3.77,6959,71.33,343.99,248.41
80,20160317,80,48,609,23.17,0.83,6742,89.81,290.98,54.69
81,20190414,13,21,778,23.46,0.54,5161,134.03,219.99,35.58
82,20230929,4,31,505,16.33,7.67,4947,94.5,302.94,505.39
83,20201102,68,11,86,16.51,7.49,3879,90.0,234.95,493.53
84,20191202,35,55,895,18.72,5.28,4080,70.11,217.95,347.91
85,20221202,69,7,808,22.97,1.03,4433,92.13,192.99,67.87
86,20210717,88,5,56,18.34,5.66,4786,64.81,260.96,372.95
87,20210214,99,54,666,23.5,0.5,5452,91.5,232.0,32.95
88,20200902,21,87,301,22.36,1.64,7244,100.67,323.97,108.06
89,20160423,16,11,780,20.73,3.27,3524,108.3,170.0,215.46
90,20250625,57,90,570,23.42,0.58,7517,95.98,320.96,38.22
91,20180320,8,64,71,20.51,3.49,7342,116.11,357.97,229.96
92,20200803,10,50,6,19.14,4.86,3674,72.59,191.95,320.23
93,20160110,38,30,589,17.02,6.98,4510,82.62,264.98,459.92
94,20160304,74,54,91,23.31,0.69,6340,107.32,271.99,45.47
95,20240301,72,12,372,18.54,5.46,4616,87.42,248.98,359.77
96,20241104,36,73,365,21.54,2.46,7517,80.95,348.98,162.09
97,20211207,86,40,103,17.87,6.13,6736,71.52,376.94,403.91
98,20171030,17,62,402,22.35,1.65,8560,76.94,383.0,108.72
99,20220921,54,72,932,16.5,7.5,4570,65.63,276.97,494.19
100,20221101,31,76,845,16.49,7.51,5771,64.43,349.97,494.84
101,20240803,10,72,701,20.87,3.13,3527,117.06,169.0,206.24
102,20190129,75,2,68,19.37,4.63,4145,78.03,213.99,305.08
103,20190218,19,30,504,23.31,0.69,7459,84.88,319.99,45.47
104,20210828,10,1,529,23.25,0.75,8416,126.53,361.98,49.42
105,20170911,42,99,859,17.6,6.4,3660,88.21,207.95,421.7
106,20151216,44,58,662,18.97,5.03,4192,85.06,220.98,331.43
107,20191011,43,49,316,20.87,3.13,4090,74.13,195.98,206.24
108,20210126,74,93,657,23.79,0.21,8778,116.68,368.98,13.84
109,20250314,41,88,974,17.54,6.46,3508,100.16,200.0,425.66
110,20180615,40,54,862,16.26,7.74,4438,58.2,272.94,510.0
111,20150710,77,98,51,21.57,2.43,8498,111.9,393.97,160.12
112,20180407,51,100,702,16.82,7.18,6223,76.44,369.98,473.1
113,20220224,20,44,45,23.56,0.44,5442,101.52,230.98,28.99
114,20180909,74,2,283,16.98,7.02,4007,93.74,235.98,462.56
115,20210629,42,58,432,20.42,3.58,4288,61.98,209.99,235.89
116,20160318,15,8,413,22.13,1.87,4094,92.33,185.0,123.22
117,20220704,65,38,252,22.0,2.0,4972,70.56,226.0,131.78
118,20191107,68,47,697,21.12,2.88,6948,67.11,328.98,189.77
119,20241129,78,40,442,22.4,1.6,8444,70.73,376.96,105.43
120,20210715,85,49,371,22.84,1.16,7354,109.24,321.98,76.43
121,20200720,1,48,425,18.0,6.0,4968,68.72,276.0,395.35
122,20200623,72,50,141,17.02,6.98,6586,79.96,386.96,459.92
123,20160409,28,99,991,21.31,2.69,7714,118.35,361.99,177.25
124,20190516,80,58,68,23.19,0.81,7930,128.97,341.96,53.37
125,20250211,44,52,792,20.08,3.92,3513,61.77,174.95,258.29
126,20201202,22,1,891,19.22,4.78,5477,101.52,284.96,314.96
127,20220824,11,11,699,21.84,2.16,6464,110.01,295.97,142.33
128,20230509,22,15,359,16.48,7.52,5718,82.78,346.97,495.5
129,20170605,19,72,466,18.31,5.69,3716,90.06,202.95,374.92
130,20170610,86,27,123,17.65,6.35,3053,103.28,172.97,418.41
131,20170601,42,76,553,20.94,3.06,5255,95.42,250.96,201.63
132,20180126,21,67,767,22.09,1.91,7090,106.93,320.96,125.85
133,20250111,38,94,631,21.2,2.8,3540,101.56,166.98,184.5
134,20200512,49,27,555,19.57,4.43,2935,110.7,149.97,291.9
135,20191204,8,66,343,21.71,2.29,3451,68.15,158.96,150.89
136,20230815,36,7,491,20.0,4.0,3540,102.5,177.0,263.57
137,20180808,24,94,709,22.09,1.91,6936,119.63,313.99,125.85
138,20220314,56,70,251,19.84,4.16,3610,109.08,181.96,274.11
139,20190819,8,18,61,17.78,6.22,6507,79.71,365.97,409.84
140,20190624,23,43,905,18.35,5.65,7009,98.8,381.96,372.29
141,20220421,84,11,778,17.47,6.53,5590,72.99,319.98,430.27
142,20240925,52,17,689,22.78,1.22,8838,84.49,387.97,80.39
143,20220503,82,62,48,18.9,5.1,3647,101.91,192.96,336.05
144,20170623,4,98,437,17.91,6.09,3349,71.55,186.99,401.28
145,20230703,80,83,263,19.2,4.8,5913,83.63,307.97,316.28
146,20161103,32,39,950,21.95,2.05,4016,115.02,182.96,135.08
147,20170916,92,6,172,20.98,3.02,5496,97.9,261.96,198.99
148,20150109,45,91,850,16.74,7.26,4235,71.83,252.99,478.37
149,20250119,74,45,467,16.42,7.58,3776,58.38,229.96,499.46
150,20160513,62,34,824,21.13,2.87,5620,117.13,265.97,189.11
151,20170331,63,38,426,21.81,2.19,4122,102.28,189.0,144.3
152,20171027,8,9,70,17.71,6.29,3612,57.24,203.95,414.46
153,20240823,46,18,980,22.24,1.76,3358,94.04,150.99,115.97
154,20240813,42,72,61,22.05,1.95,7056,68.15,320.0,128.49
155,20250307,49,45,677,23.96,0.04,6013,72.43,250.96,2.64
156,20230311,19,69,227,21.11,2.89,5678,116.09,268.97,190.43
157,20190414,39,86,901,22.93,1.07,5205,99.91,227.0,70.5
158,20200629,6,36,95,20.16,3.84,7519,98.36,372.97,253.02
159,20240415,22,69,176,22.08,1.92,3532,85.83,159.96,126.51
160,20231026,97,92,419,17.02,6.98,6348,93.61,372.97,459.92
161,20240921,3,57,397,20.87,3.13,4612,110.69,220.99,206.24
162,20241112,91,14,816,18.32,5.68,5532,59.79,301.97,374.26
163,20211201,56,17,285,16.78,7.22,6074,84.99,361.98,475.74
164,20180103,43,90,580,17.29,6.71,4149,77.09,239.97,442.13
165,20230111,77,86,834,23.97,0.03,4746,115.2,198.0,1.98
166,20150625,61,71,269,18.71,5.29,6005,85.25,320.95,348.57
167,20151216,37,85,819,19.44,4.56,3363,66.4,172.99,300.46
168,20250217,27,26,490,21.06,2.94,5328,108.35,252.99,193.72
169,20210704,71,3,71,16.21,7.79,3566,55.77,219.99,513.29
170,20160420,77,52,323,21.46,2.54,8176,118.41,380.99,167.36
171,20211206,46,21,911,23.41,0.59,7561,83.28,322.98,38.88
172,20160619,95,40,52,18.01,5.99,4430,79.03,245.97,394.69
173,20200128,18,65,206,23.24,0.76,8807,90.86,378.96,50.08
174,20161128,72,91,244,20.92,3.08,3702,96.24,176.96,202.95
175,20191220,73,66,508,22.13,1.87,7767,123.71,350.97,123.22
176,20200602,38,10,732,21.73,2.27,5867,101.3,270.0,149.57
177,20230630,38,32,780,18.04,5.96,3445,64.17,190.96,392.71
178,20210919,38,76,182,16.01,7.99,3442,58.32,214.99,526.47
179,20220521,73,92,945,20.06,3.94,6479,91.53,322.98,259.61
180,20210306,75,84,416,16.31,7.69,4371,69.63,268.0,506.7
181,20250212,99,73,869,20.12,3.88,3018,85.27,150.0,255.66
182,20181230,4,59,821,23.64,0.36,6430,139.58,272.0,23.72
183,20181224,70,73,319,22.73,1.27,5546,100.59,243.99,83.68
184,20180608,98,78,209,17.61,6.39,5881,86.02,333.96,421.05
185,20220226,77,59,445,22.78,1.22,5216,93.17,228.97,80.39
186,20170706,95,2,781,22.35,1.65,5922,108.12,264.97,108.72
187,20160814,85,25,204,17.0,7.0,4811,86.15,283.0,461.24
188,20151122,35,22,246,17.89,6.11,6368,54.27,355.95,402.6
189,20191101,53,70,69,17.57,6.43,5850,56.4,332.95,423.68
190,20181107,78,59,148,22.84,1.16,5778,135.12,252.98,76.43
191,20200420,49,74,326,16.38,7.62,6289,79.14,383.94,502.09
192,20170403,80,15,852,21.22,2.78,6387,100.95,300.99,183.18
193,20190721,9,27,910,17.66,6.34,4132,75.23,233.98,417.75
194,20170305,91,20,186,20.62,3.38,4804,80.09,232.98,222.71
195,20150522,98,33,203,23.71,0.29,6377,129.89,268.96,19.11
196,20170702,66,85,906,20.23,3.77,5300,90.81,261.99,248.41
197,20211111,22,9,911,16.92,7.08,2893,57.03,170.98,466.51
198,20171212,25,43,789,22.58,1.42,7970,77.01,352.97,93.57
199,20230121,35,22,379,20.78,3.22,7418,101.88,356.98,212.17
200,20150904,91,34,293,18.26,5.74,7176,96.65,392.99,378.22
201,20240412,8,42,394,22.98,1.02,9169,135.29,399.0,67.21
202,20210403,20,86,354,19.64,4.36,5636,115.1,286.97,287.29
203,20200615,69,35,250,22.84,1.16,6029,131.53,263.97,76.43
204,20220425,5,48,549,22.4,1.6,8512,96.44,380.0,105.43
205,20230918,8,36,428,18.29,5.71,3145,86.19,171.95,376.24
206,20190108,79,32,406,22.31,1.69,6157,79.05,275.97,111.36
207,20180928,17,67,950,18.34,5.66,7207,82.58,392.97,372.95
208,20250213,13,10,243,19.85,4.15,4089,102.83,205.99,273.45
209,20180108,90,29,967,16.42,7.58,3661,50.11,222.96,499.46
210,20190807,79,100,796,18.88,5.12,7419,110.3,392.96,337.36
211,20160809,81,94,955,18.03,5.97,3515,93.84,194.95,393.37
212,20170319,32,91,666,16.18,7.82,6439,86.86,397.96,515.27
213,20151027,20,43,496,23.33,0.67,6835,107.47,292.97,44.15
214,20220113,97,98,527,23.36,0.64,6260,111.98,267.98,42.17
215,20181103,28,64,332,18.11,5.89,5487,96.85,302.98,388.1
216,20190128,93,80,637,23.21,0.79,3551,109.01,152.99,52.05
217,20181021,34,9,931,23.35,0.65,6958,132.96,297.99,42.83
218,20241209,90,98,896,18.6,5.4,4315,70.76,231.99,355.81
219,20191016,46,7,38,22.54,1.46,7889,86.95,350.0,96.2
220,20171101,7,41,440,20.41,3.59,3694,118.92,180.99,236.55
221,20220725,37,63,670,19.06,4.94,5393,80.48,282.95,325.5
222,20250412,54,36,290,23.04,0.96,3640,92.97,157.99,63.26
223,20180828,82,3,860,19.93,4.07,4265,98.94,214.0,268.18
224,20210811,30,71,569,21.77,2.23,7423,115.34,340.97,146.94
225,20230504,62,78,66,23.18,0.82,4496,108.67,193.96,54.03
226,20191214,89,37,46,23.76,0.24,6153,106.43,258.96,15.81
227,20160620,100,39,311,22.98,1.02,8594,103.76,373.98,67.21
228,20200721,10,14,397,21.14,2.86,6172,84.43,291.96,188.45
229,20161102,53,32,912,18.05,5.95,4548,57.92,251.97,392.05
230,20150418,14,56,589,23.77,0.23,4730,123.73,198.99,15.16
231,20151115,18,97,815,21.01,2.99,4202,69.75,200.0,197.02
232,20181202,52,94,656,17.13,6.87,2826,92.64,164.97,452.67
233,20191103,97,1,190,20.44,3.56,5375,93.73,262.96,234.57
234,20201029,47,28,94,20.48,3.52,5550,68.23,271.0,231.94
235,20220302,2,67,96,23.57,0.43,8862,84.94,375.99,28.33
236,20190927,40,57,404,18.79,5.21,4941,80.56,262.96,343.29
237,20211204,4,43,424,17.99,6.01,6080,64.72,337.97,396.01
238,20220717,53,87,772,17.92,6.08,5967,86.34,332.98,400.62
239,20230826,63,57,838,23.87,0.13,3986,113.76,166.99,8.57
240,20250427,47,46,173,16.25,7.75,2811,60.8,172.98,510.66
241,20221115,9,71,789,16.11,7.89,2980,77.94,184.98,519.88
242,20180331,75,67,90,17.91,6.09,6716,59.46,374.99,401.28
243,20160414,44,68,510,20.81,3.19,7741,116.35,371.98,210.19
244,20240622,32,87,276,16.29,7.71,5033,85.91,308.96,508.02
245,20190417,36,88,14,18.67,5.33,5769,58.48,309.0,351.2
246,20230820,10,71,868,18.12,5.88,5127,93.91,282.95,387.44
247,20180907,60,87,13,21.2,2.8,7950,67.99,375.0,184.5
248,20150716,69,83,450,16.52,7.48,3832,51.21,231.96,492.87
249,20230503,40,42,620,23.37,0.63,6286,120.94,268.98,41.51
250,20220429,62,28,11,16.74,7.26,3197,96.27,190.98,478.37
251,20170625,14,44,732,21.79,2.21,7844,80.15,359.98,145.62
252,20161213,66,78,361,20.02,3.98,6946,69.68,346.95,262.25
253,20220322,87,22,748,23.84,0.16,9249,104.34,387.96,10.54
254,20200523,10,53,134,22.02,1.98,5020,99.54,227.97,130.46
255,20170510,32,86,76,17.55,6.45,3159,99.54,180.0,425.0
256,20160624,98,36,569,21.75,2.25,5916,86.65,272.0,148.26
257,20210904,14,64,281,19.49,4.51,6879,61.9,352.95,297.17
258,20240802,56,10,179,19.14,4.86,7617,82.53,397.96,320.23
259,20160417,87,94,625,22.69,1.31,4016,78.57,176.99,86.32
260,20200617,20,55,988,16.61,7.39,3537,88.28,212.94,486.94
261,20211108,95,61,12,22.15,1.85,6711,120.84,302.98,121.9
262,20231128,84,41,138,17.79,6.21,6635,92.01,372.96,409.19
263,20240625,60,50,649,18.83,5.17,7023,101.75,372.97,340.66
264,20190920,12,26,889,17.01,6.99,6361,87.9,373.96,460.58
265,20250601,87,53,423,21.41,2.59,3596,78.5,167.96,170.66
266,20241112,91,1,193,19.29,4.71,6288,104.71,325.97,310.35
267,20180704,95,71,888,18.13,5.87,4351,61.25,239.99,386.78
268,20201021,76,92,752,23.04,0.96,5944,104.91,257.99,63.26
269,20221228,86,35,847,18.36,5.64,5287,89.62,287.96,371.63
270,20201229,55,70,221,20.01,3.99,5102,62.03,254.97,262.91
271,20191030,27,100,901,23.68,0.32,4641,92.14,195.99,21.09
272,20241027,92,77,114,23.44,0.56,7828,95.62,333.96,36.9
273,20180617,77,36,143,23.49,0.51,4744,123.41,201.96,33.6
274,20210110,86,9,319,23.47,0.53,8167,89.27,347.98,34.92
275,20160630,37,25,336,17.61,6.39,3187,82.45,180.98,421.05
276,20181109,67,5,738,19.38,4.62,3798,111.31,195.98,304.42
277,20210820,89,48,431,19.46,4.54,3327,93.35,170.97,299.15
278,20241115,55,100,741,20.85,3.15,3148,62.59,150.98,207.56
279,20150527,28,81,829,18.55,5.45,3635,76.54,195.96,359.11
280,20181007,53,82,756,16.3,7.7,2999,72.42,183.99,507.36
281,20210617,2,19,920,17.81,6.19,6945,55.65,389.95,407.87
282,20161025,66,38,327,19.63,4.37,6124,92.48,311.97,287.95
283,20240413,99,68,67,18.89,5.11,5081,90.9,268.98,336.7
284,20190619,23,70,713,23.25,0.75,7602,70.93,326.97,49.42
285,20200212,84,86,928,23.07,0.93,8259,130.74,358.0,61.28
286,20220504,13,97,154,19.33,4.67,7577,58.79,391.98,307.71
287,20241215,12,81,192,21.21,2.79,3860,67.19,181.99,183.84
288,20231024,67,78,820,18.54,5.46,3411,55.65,183.98,359.77
289,20170305,18,28,855,21.37,2.63,3248,64.42,151.99,173.29
290,20161221,32,10,163,18.74,5.26,6296,57.58,335.97,346.59
291,20190630,35,100,809,16.87,7.13,4150,99.3,246.0,469.81
292,20181102,12,49,502,22.76,1.24,7738,125.05,339.98,81.71
293,20190620,63,86,905,21.09,2.91,8035,82.48,380.99,191.74
294,20220114,68,95,150,22.54,1.46,7009,84.69,310.96,96.2
295,20190828,30,85,90,19.37,4.63,7573,63.14,390.97,305.08
296,20231108,14,29,297,19.57,4.43,7495,111.82,382.98,291.9
297,20160223,46,18,140,23.76,0.24,8672,134.29,364.98,15.81
298,20211203,75,89,180,16.5,7.5,5065,60.19,306.97,494.19
299,20210819,87,18,518,19.9,4.1,7920,107.35,397.99,270.15
300,20160210,32,88,939,18.39,5.61,3126,87.11,169.98,369.65
301,20151220,18,69,844,23.87,0.13,6206,99.06,259.99,8.57
302,20240730,46,55,241,18.76,5.24,7072,91.91,376.97,345.27
303,20210324,55,74,125,16.15,7.85,4312,89.9,267.0,517.25
304,20250928,52,66,939,20.68,3.32,7341,99.15,354.98,218.76
305,20231101,24,70,576,23.99,0.01,4366,96.92,181.99,0.66
306,20170313,56,42,19,16.37,7.63,6466,49.21,394.99,502.75
307,20161208,6,98,619,20.43,3.57,4596,103.38,224.96,235.23
308,20170825,98,18,198,19.58,4.42,6559,75.78,334.98,291.24
309,20180930,48,97,780,20.23,3.77,4754,118.5,235.0,248.41
310,20230720,65,25,431,19.94,4.06,4227,88.03,211.99,267.52
311,20220105,75,92,187,17.15,6.85,5385,85.47,313.99,451.36
312,20250602,64,68,325,19.69,4.31,5080,106.93,258.0,283.99
313,20170215,30,26,724,17.71,6.29,6109,58.13,344.95,414.46
314,20191223,7,3,380,20.75,3.25,8154,82.04,392.96,214.15
315,20150907,63,19,470,20.41,3.59,3245,93.4,158.99,236.55
316,20170606,55,78,53,18.69,5.31,7251,91.66,387.96,349.88
317,20250315,40,45,428,19.41,4.59,4250,65.64,218.96,302.44
318,20220330,56,23,428,22.49,1.51,7849,88.79,349.0,99.5
319,20160707,13,96,130,16.56,7.44,3593,72.04,216.97,490.23
320,20221219,48,54,975,19.13,4.87,6504,112.78,339.99,320.89
321,20200606,37,2,630,21.62,2.38,6140,105.5,284.0,156.82
322,20250317,50,73,772,19.74,4.26,6454,94.41,326.95,280.7
323,20160708,85,2,401,16.65,7.35,4428,88.22,265.95,484.3
324,20250416,27,29,290,16.84,7.16,6112,70.11,362.95,471.78
325,20151018,79,30,350,21.48,2.52,8570,125.55,398.98,166.05
326,20170916,89,46,297,20.03,3.97,4426,75.6,220.97,261.59
327,20180530,57,86,936,21.1,2.9,8229,73.47,390.0,191.08
328,20190930,16,45,818,21.84,2.16,5918,113.92,270.97,142.33
329,20150816,17,28,711,21.62,2.38,7177,78.79,331.96,156.82
330,20250925,32,80,28,23.15,0.85,5023,98.74,216.98,56.01
331,20221223,2,63,351,19.71,4.29,5814,70.81,294.98,282.67
332,20220214,45,83,345,18.91,5.09,5162,108.44,272.98,335.39
333,20250224,64,42,779,17.99,6.01,5918,93.9,328.96,396.01
334,20250716,95,71,1,23.49,0.51,6600,114.14,280.97,33.6
335,20160307,25,97,69,17.11,6.89,5133,57.35,300.0,453.99
336,20150815,43,27,104,18.95,5.05,7485,82.36,394.99,332.75
337,20171029,22,20,355,18.91,5.09,4576,57.56,241.99,335.39
338,20241006,49,24,897,21.24,2.76,3759,102.54,176.98,181.86
339,20220823,97,100,973,16.04,7.96,5886,63.14,366.96,524.5
340,20190724,76,40,763,18.46,5.54,3045,103.91,164.95,365.04
341,20240326,14,35,528,18.57,5.43,4308,99.87,231.99,357.79
342,20180115,82,97,805,16.68,7.32,3819,68.98,228.96,482.32
343,20200805,55,61,79,22.33,1.67,6877,109.07,307.97,110.04
344,20180626,35,61,158,19.82,4.18,7709,101.74,388.95,275.43
345,20150301,72,39,99,21.19,2.81,3814,68.25,179.99,185.15
346,20190606,58,6,257,23.4,0.6,8985,84.57,383.97,39.53
347,20150802,24,93,46,17.37,6.63,4689,61.31,269.95,436.86
348,20230310,25,79,177,18.68,5.32,3063,73.27,163.97,350.54
349,20161011,21,69,804,20.05,3.95,7157,105.95,356.96,260.27
350,20170917,52,37,185,23.58,0.42,5564,114.74,235.96,27.67
351,20231202,79,60,320,17.71,6.29,6694,101.31,377.98,414.46
352,20151019,51,54,953,18.75,5.25,4537,66.73,241.97,345.93
353,20200204,4,35,179,16.24,7.76,4725,50.54,290.95,511.32
354,20201122,60,47,104,22.56,1.44,5594,86.3,247.96,94.88
355,20220324,37,38,601,20.96,3.04,8258,91.04,393.99,200.31
356,20230928,25,94,353,18.11,5.89,7062,61.3,389.95,388.1
357,20240903,96,42,398,19.58,4.42,5169,88.1,263.99,291.24
358,20220418,80,18,118,21.35,2.65,4889,76.9,228.99,174.61
359,20180131,28,36,302,19.48,4.52,7051,88.31,361.96,297.83
360,20200921,45,91,642,17.93,6.07,4787,94.36,266.98,399.96
361,20151220,73,59,764,20.24,3.76,7448,107.11,367.98,247.75
362,20231218,95,87,302,22.28,1.72,5258,120.43,236.0,113.33
363,20230502,58,77,119,16.23,7.77,3943,76.13,242.95,511.98
364,20180409,4,32,265,22.67,1.33,5214,100.97,230.0,87.64
365,20231213,58,100,565,23.2,0.8,6774,114.73,291.98,52.71
366,20220920,82,14,41,19.38,4.62,7015,73.68,361.97,304.42
367,20160805,55,7,729,21.79,2.21,7866,70.87,360.99,145.62
368,20191123,83,51,754,21.11,2.89,7071,118.36,334.96,190.43
369,20250701,45,99,233,18.61,5.39,3052,69.54,164.0,355.15
370,20200522,12,16,855,23.7,0.3,6304,126.94,265.99,19.77
371,20250212,16,41,457,16.64,7.36,3011,84.4,180.95,484.96
372,20250819,76,72,988,22.66,1.34,7183,76.3,316.99,88.29
373,20190522,17,2,417,17.69,6.31,6704,85.63,378.97,415.77
374,20191104,99,50,971,19.46,4.54,6090,95.93,312.95,299.15
375,20211205,2,65,646,17.85,6.15,4319,92.55,241.96,405.23
376,20160130,49,62,733,20.62,3.38,7485,66.49,363.0,222.71
377,20161109,24,74,21,20.48,3.52,4730,97.26,230.96,231.94
378,20150212,66,90,108,16.55,7.45,3144,95.98,189.97,490.89
379,20150707,31,92,739,21.86,2.14,5355,93.23,244.97,141.01
380,20240423,90,64,83,16.3,7.7,5753,64.35,352.94,507.36
381,20180308,37,60,319,23.28,0.72,4516,90.81,193.99,47.44
382,20180622,9,82,789,17.77,6.23,3554,71.73,200.0,410.5
383,20250223,42,9,883,16.5,7.5,6418,86.1,388.97,494.19
384,20200107,26,36,681,20.95,3.05,4902,89.18,233.99,200.97
385,20240610,65,98,899,16.53,7.47,3355,88.69,202.96,492.21
386,20161125,18,8,978,21.44,2.56,7396,67.22,344.96,168.68
387,20170907,36,98,183,19.24,4.76,3270,62.36,169.96,313.64
388,20160902,15,64,242,20.92,3.08,3640,92.35,174.0,202.95
389,20210420,86,98,811,16.24,7.76,4449,71.69,273.95,511.32
390,20180402,14,16,854,20.01,3.99,3041,93.61,151.97,262.91
391,20170218,50,91,595,22.55,1.45,6674,100.31,295.96,95.54
392,20230308,5,75,973,16.99,7.01,2616,78.96,153.97,461.9
393,20170220,28,83,909,19.31,4.69,5715,81.64,295.96,309.03
394,20180313,52,36,229,16.59,7.41,5972,81.04,359.98,488.25
395,20170916,34,57,907,20.42,3.58,4329,91.52,212.0,235.89
